upc,date_adj,haspromo,units_adj
69969400113,20210707,0,0
89802800125,20210707,0,0
79954001153,20210707,0,0
87409700023,20210707,0,0
28100400000,20210707,0,0
8281591558,20210707,0,0
4116701056,20210707,0,0
3680041554,20210707,0,0
68765217229,20210707,0,0
3700044980,20210707,0,0
74228780211,20210707,0,0
84654802072,20210707,0,0
6011,20210707,0,0
3663850002,20210707,0,0
64499613990,20210707,0,0
7047043332,20210707,0,0
7896004400327,20210707,0,0
8992779257506,20210707,0,0
82699803060,20210707,0,0
1996266063,20210707,0,0
7441056200014,20210707,0,0
7128100760,20210707,0,0
85785300217,20210707,0,0
78533177830,20210707,0,0
8000050026489,20210707,0,0
1820053308,20210707,0,0
81582901006,20210707,0,0
7240008060,20210707,0,0
85000867808,20210707,0,0
7007457802,20210707,0,0
7059460138,20210707,0,0
73525701326,20210707,0,0
4695,20210707,0,0
70942181178,20210707,0,0
7231000098,20210707,0,0
5201010103056,20210707,0,0
7005735161,20210707,0,0
1428631001,20210707,0,0
72649316242,20210707,0,0
81083302272,20210707,0,0
7618300310,20210707,0,71
81829001698,20210707,0,63
1480058205,20210707,0,40
1500000639,20210707,0,3
3114235900,20210707,0,87
4850020183,20210707,1,98
7756728323,20210707,1,20
7323000033,20210707,0,7
7236839361,20210707,0,4
1115314850,20210707,0,15
81410001301,20210707,0,5
1450001352,20210707,0,23
3746608323,20210707,0,14
1111587132,20210707,0,119
20285000000,20210707,0,13
3663201944,20210707,0,7
1820005989,20210707,0,15
3889749111,20210707,0,32
4525511848,20210707,0,4
3700077131,20210707,0,23
4100000890,20210707,0,2
4100000271,20210707,0,10
7800000911,20210707,0,0
7680853360,20210707,0,15
3800078704,20210707,0,19
7910052040,20210707,0,4
4650076953,20210707,0,7
4190007919,20210707,0,14
1920095871,20210707,0,20
64044530001,20210707,0,1
60265217058,20210707,0,8
5100027655,20210707,0,2
64857000490,20210707,0,1
25089600000,20210707,0,0
8517800068,20210707,0,0
3060320240,20210707,0,0
4138809701,20210707,0,0
7506226026,20210707,0,0
85983600385,20210707,0,0
61930910111,20210707,0,0
